"created_at";"u1";"u2";"time_interval";"frequence"
"2019-10-28 11:00:00";"1111762456";"2222789829";436738;1
"2019-10-28 11:00:00";"1111762456";"222268793";436738;1
"2019-10-28 11:00:00";"1111762456";"222252229";436738;1
"2019-10-28 11:00:00";"1111762456";"22228321";436738;1
"2019-10-28 11:00:00";"1111762456";"22227302";436738;1
"2019-10-28 11:00:00";"1111762456";"222267017600716802";436738;1
"2019-10-28 11:00:00";"1111780418";"22222169";436738;1
"2019-10-28 11:00:00";"1111860636";"2222780418";436738;1
"2019-10-28 11:00:00";"1111860636";"222265290";436738;1
"2019-10-28 11:00:00";"1111860636";"22222169";436738;1
"2019-10-28 11:00:00";"1111860636";"22227569";436738;1
"2019-10-28 11:00:00";"1111673410";"2222762791";436738;1
"2019-10-28 11:00:00";"11117569";"2222780418";436738;1
"2019-10-28 11:00:00";"11117569";"22222169";436738;1
"2019-10-28 11:00:00";"1111105924";"2222780418";436738;1
"2019-10-28 11:00:00";"1111105924";"22227569";436738;1
"2019-10-28 11:00:00";"111160844806586368";"2222762791";436738;1
"2019-10-28 11:00:00";"111111909983055872";"2222780418";436738;1
"2019-10-28 11:00:00";"111111909983055872";"22227569";436738;1
"2019-10-28 11:00:00";"111154221875867648";"2222346046";436738;1
"2019-10-28 11:00:00";"111154221875867648";"222277663";436738;1
"2019-10-28 11:00:00";"111154221875867648";"22226514";436738;1
"2019-10-28 11:00:00";"111154221875867648";"22223630";436738;1
"2019-10-28 12:00:00";"1111915990737838080";"2222662762029215744";436739;1
"2019-10-28 12:00:00";"1111915990737838080";"222222298";436739;1
"2019-10-28 12:00:00";"1111915990737838080";"222286871";436739;1
"2019-10-28 12:00:00";"1111915990737838080";"2222525061";436739;1
"2019-10-28 12:00:00";"1111824541003939841";"22221593";436739;2
"2019-10-28 12:00:00";"1111595276707708928";"2222987313";436739;1
"2019-10-28 12:00:00";"1111595276707708928";"222279883";436739;1
"2019-10-28 12:00:00";"1111953871532482561";"2222987313";436739;1
"2019-10-28 12:00:00";"1111953871532482561";"222279883";436739;1
"2019-10-28 12:00:00";"1111579073554309121";"2222762791";436739;1
"2019-10-28 12:00:00";"1111951568";"2222987313";436739;1
"2019-10-28 12:00:00";"1111951568";"222279883";436739;1
"2019-10-28 12:00:00";"1111937739";"2222762791";436739;1
"2019-10-28 12:00:00";"1111388978";"2222780418";436739;1
"2019-10-28 12:00:00";"1111388978";"22222169";436739;1
"2019-10-28 12:00:00";"1111388978";"22227569";436739;1
"2019-10-28 12:00:00";"111122777";"222232236";436739;1
"2019-10-28 12:00:00";"111122777";"222232167";436739;1
"2019-10-28 12:00:00";"111122777";"222281173";436739;1
"2019-10-28 12:00:00";"1111623376";"2222987313";436739;1
"2019-10-28 12:00:00";"1111623376";"222279883";436739;1
"2019-10-28 12:00:00";"1111705762";"2222762456";436739;1
"2019-10-28 12:00:00";"1111762456";"222280480";436739;1
"2019-10-28 12:00:00";"111147242";"2222662762029215744";436739;1
"2019-10-28 12:00:00";"111147242";"222222298";436739;1
"2019-10-28 12:00:00";"111147242";"222286871";436739;1
"2019-10-28 12:00:00";"111147242";"2222525061";436739;1
"2019-10-28 12:00:00";"1111987313";"2222525940814860288";436739;1
"2019-10-28 12:00:00";"1111987313";"222279883";436739;1
"2019-10-28 12:00:00";"111181477";"2222762791";436739;1
"2019-10-28 12:00:00";"111126984";"222234352070590464";436739;1
"2019-10-28 12:00:00";"111138128213254146";"222278622";436739;1
"2019-10-28 12:00:00";"11118204";"2222662762029215744";436739;1
"2019-10-28 12:00:00";"11118204";"222222298";436739;1
"2019-10-28 12:00:00";"11118204";"222286871";436739;1
"2019-10-28 12:00:00";"11118204";"2222525061";436739;1
"2019-10-28 12:00:00";"111155113291788288";"2222662762029215744";436739;1
"2019-10-28 12:00:00";"111155113291788288";"222222298";436739;1
"2019-10-28 12:00:00";"111155113291788288";"222286871";436739;1
"2019-10-28 12:00:00";"111155113291788288";"2222525061";436739;1
